,val,x,y
443,0.5,11,4
444,0.5,12,4
445,0.5,13,4
446,0.5,14,4
447,0.5,15,4
448,0.5,16,4
449,0.5,17,4
450,0.5,18,4
451,0.5,19,4
452,0.5,20,4
453,0.5,21,4
454,0.5,22,4
455,0.5,23,4
456,0.5,24,4
457,0.5,25,4
458,0.5,26,4
459,0.5,27,4
460,0.5,28,4
461,0.5,29,4
462,0.5,30,4
463,0.5,31,4
464,0.5,32,4
465,0.5,33,4
466,0.5,34,4
467,0.5,35,4
468,0.5,36,4
469,0.5,37,4
470,0.5,38,4
471,0.5,39,4
472,0.5,40,4
473,0.5,41,4
474,0.5,42,4
475,0.5,43,4
476,0.5,44,4
477,0.5,45,4
478,0.5,46,4
479,0.5,47,4
480,0.5,48,4
481,0.5,49,4
482,0.5,50,4
483,0.5,51,4
484,0.5,52,4
485,0.5,53,4
486,0.4,54,4
487,0.4,55,4
488,0.5,56,4
489,0.5,57,4
490,0.5,58,4
491,0.5,59,4
492,0.5,60,4
493,0.5,61,4
494,0.5,62,4
495,0.5,63,4
496,0.5,64,4
497,0.5,65,4
498,0.5,66,4
499,0.5,67,4
500,0.5,68,4
501,0.5,69,4
502,0.5,70,4
503,0.5,71,4
504,0.5,72,4
505,0.5,73,4
506,0.5,74,4
507,0.5,75,4
508,0.5,76,4
509,0.4,77,4
510,0.5,78,4
511,0.5,79,4
512,0.4,80,4
513,0.5,81,4
514,0.5,82,4
515,0.5,83,4
516,0.4,84,4
517,0.5,85,4
518,0.4,86,4
519,0.4,87,4
520,0.4,88,4
521,0.4,89,4
522,0.4,90,4
523,0.4,91,4
524,0.4,92,4
525,0.5,93,4
526,0.5,94,4
527,0.4,95,4
528,0.5,96,4
529,0.4,97,4
530,0.4,98,4
531,0.4,99,4
532,0.4,100,4
533,0.4,101,4
534,0.4,102,4
535,0.4,103,4
536,0.4,104,4
537,0.4,105,4
538,0.4,106,4
539,0.4,107,4
540,0.5,0,5
541,0.5,1,5
542,0.5,2,5
543,0.5,3,5
544,0.5,4,5
545,0.5,5,5
546,0.5,6,5
547,0.4,7,5
548,0.5,8,5
549,0.5,9,5
550,0.5,10,5
551,0.5,11,5
552,0.5,12,5
553,0.5,13,5
554,0.5,14,5
555,0.5,15,5
556,0.5,16,5
557,0.5,17,5
558,0.5,18,5
559,0.5,19,5
560,0.5,20,5
561,0.5,21,5
562,0.5,22,5
563,0.5,23,5
564,0.5,24,5
565,0.5,25,5
566,0.5,26,5
567,0.5,27,5
568,0.5,28,5
569,0.5,29,5
570,0.5,30,5
571,0.5,31,5
572,0.5,32,5
573,0.5,33,5
574,0.5,34,5
575,0.5,35,5
576,0.5,36,5
577,0.5,37,5
578,0.5,38,5
579,0.5,39,5
580,0.5,40,5
581,0.5,41,5
582,0.5,42,5
583,0.5,43,5
584,0.5,44,5
585,0.5,45,5
586,0.5,46,5
587,0.5,47,5
588,0.5,48,5
589,0.5,49,5
590,0.5,50,5
591,0.5,51,5
592,0.5,52,5
593,0.5,53,5
594,0.5,54,5
595,0.4,55,5
596,0.3,56,5
597,0.4,57,5
598,0.5,58,5
599,0.5,59,5
600,0.5,60,5
601,0.5,61,5
602,0.5,62,5
603,0.5,63,5
604,0.5,64,5
605,0.5,65,5
606,0.5,66,5
607,0.5,67,5
608,0.5,68,5
609,0.5,69,5
610,0.5,70,5
611,0.5,71,5
612,0.5,72,5
613,0.5,73,5
614,0.5,74,5
615,0.5,75,5
616,0.5,76,5
617,0.5,77,5
618,0.4,78,5
619,0.4,79,5
620,0.5,80,5
621,0.4,81,5
622,0.4,82,5
623,0.5,83,5
624,0.5,84,5
625,0.5,85,5
626,0.5,86,5
627,0.5,87,5
628,0.4,88,5
629,0.5,89,5
630,0.4,90,5
631,0.4,91,5
632,0.4,92,5
633,0.4,93,5
634,0.4,94,5
635,0.4,95,5
636,0.4,96,5
637,0.4,97,5
638,0.4,98,5
639,0.4,99,5
640,0.4,100,5
641,0.4,101,5
642,0.4,102,5
643,0.4,103,5
644,0.4,104,5
645,0.4,105,5
646,0.4,106,5
647,0.4,107,5
648,0.5,0,6
649,0.5,1,6
650,0.5,2,6
651,0.5,3,6
652,0.5,4,6
653,0.5,5,6
654,0.5,6,6
655,0.5,7,6
656,0.5,8,6
657,0.5,9,6
658,0.5,10,6
659,0.5,11,6
660,0.5,12,6
661,0.5,13,6
662,0.5,14,6
663,0.5,15,6
664,0.5,16,6
665,0.5,17,6
666,0.5,18,6
667,0.5,19,6
668,0.5,20,6
669,0.5,21,6
670,0.5,22,6
671,0.5,23,6
672,0.5,24,6
673,0.5,25,6
674,0.5,26,6
675,0.5,27,6
676,0.5,28,6
677,0.5,29,6
678,0.5,30,6
679,0.5,31,6
680,0.5,32,6
681,0.5,33,6
682,0.5,34,6
683,0.5,35,6
684,0.5,36,6
685,0.5,37,6
686,0.5,38,6
687,0.5,39,6
688,0.5,40,6
689,0.5,41,6
690,0.5,42,6
691,0.5,43,6
692,0.5,44,6
693,0.5,45,6
694,0.5,46,6
695,0.5,47,6
696,0.5,48,6
697,0.5,49,6
698,0.5,50,6
699,0.4,51,6
700,0.5,52,6
701,0.4,53,6
702,0.4,54,6
703,0.4,55,6
704,0.4,56,6
705,0.3,57,6
706,0.4,58,6
707,0.4,59,6
708,0.4,60,6
709,0.5,61,6
710,0.5,62,6
711,0.5,63,6
712,0.5,64,6
713,0.5,65,6
714,0.5,66,6
715,0.4,67,6
716,0.5,68,6
717,0.5,69,6
718,0.5,70,6
719,0.5,71,6
720,0.5,72,6
721,0.5,73,6
722,0.5,74,6
723,0.5,75,6
724,0.5,76,6
725,0.4,77,6
726,0.5,78,6
727,0.5,79,6
728,0.5,80,6
729,0.5,81,6
730,0.4,82,6
731,0.4,83,6
732,0.5,84,6
733,0.5,85,6
734,0.4,86,6
735,0.5,87,6
736,0.4,88,6
737,0.4,89,6
738,0.4,90,6
739,0.4,91,6
740,0.5,92,6
741,0.4,93,6
742,0.4,94,6
743,0.4,95,6
744,0.4,96,6
745,0.4,97,6
746,0.4,98,6
747,0.4,99,6
748,0.4,100,6
749,0.4,101,6
750,0.4,102,6
751,0.4,103,6
752,0.4,104,6
753,0.4,105,6
754,0.4,106,6
755,0.4,107,6
756,0.5,0,7
757,0.5,1,7
758,0.5,2,7
759,0.5,3,7
760,0.5,4,7
761,0.5,5,7
762,0.5,6,7
763,0.5,7,7
764,0.5,8,7
765,0.5,9,7
766,0.5,10,7
767,0.5,11,7
768,0.5,12,7
769,0.5,13,7
770,0.5,14,7
771,0.5,15,7
772,0.5,16,7
773,0.5,17,7
774,0.5,18,7
775,0.5,19,7
776,0.5,20,7
777,0.5,21,7
778,0.5,22,7
779,0.5,23,7
780,0.5,24,7
781,0.5,25,7
782,0.5,26,7
783,0.5,27,7
784,0.5,28,7
785,0.5,29,7
786,0.5,30,7
787,0.5,31,7
788,0.5,32,7
789,0.5,33,7
790,0.5,34,7
791,0.5,35,7
792,0.5,36,7
793,0.5,37,7
794,0.5,38,7
795,0.5,39,7
796,0.5,40,7
797,0.5,41,7
798,0.5,42,7
799,0.5,43,7
800,0.5,44,7
801,0.5,45,7
802,0.5,46,7
803,0.5,47,7
804,0.5,48,7
805,0.4,49,7
806,0.4,50,7
807,0.3,51,7
808,0.3,52,7
809,0.2,53,7
810,0.3,54,7
811,0.4,55,7
812,0.4,56,7
813,0.4,57,7
814,0.3,58,7
815,0.3,59,7
816,0.4,60,7
817,0.5,61,7
818,0.5,62,7
819,0.5,63,7
820,0.5,64,7
821,0.5,65,7
822,0.5,66,7
823,0.5,67,7
824,0.5,68,7
825,0.5,69,7
826,0.5,70,7
827,0.5,71,7
828,0.5,72,7
829,0.5,73,7
830,0.5,74,7
831,0.5,75,7
832,0.5,76,7
833,0.5,77,7
834,0.5,78,7
835,0.4,79,7
836,0.5,80,7
837,0.4,81,7
838,0.5,82,7
839,0.4,83,7
840,0.4,84,7
841,0.5,85,7
842,0.4,86,7
843,0.4,87,7
844,0.5,88,7
845,0.4,89,7
846,0.4,90,7
847,0.5,91,7
848,0.5,92,7
849,0.5,93,7
850,0.4,94,7
851,0.4,95,7
852,0.4,96,7
853,0.4,97,7
854,0.4,98,7
855,0.4,99,7
856,0.4,100,7
857,0.4,101,7
858,0.4,102,7
859,0.4,103,7
860,0.4,104,7
861,0.4,105,7
862,0.4,106,7
863,0.4,107,7
864,0.5,0,8
865,0.5,1,8
866,0.5,2,8
867,0.5,3,8
868,0.5,4,8
869,0.5,5,8
870,0.5,6,8
871,0.5,7,8
872,0.5,8,8
873,0.5,9,8
874,0.5,10,8
875,0.5,11,8
876,0.5,12,8
877,0.5,13,8
878,0.5,14,8
879,0.5,15,8
880,0.5,16,8
881,0.5,17,8
882,0.5,18,8
883,0.5,19,8
884,0.5,20,8
885,0.5,21,8
886,0.5,22,8
887,0.5,23,8
888,0.5,24,8
889,0.5,25,8
890,0.5,26,8
891,0.5,27,8
892,0.5,28,8
893,0.5,29,8
894,0.5,30,8
895,0.5,31,8
896,0.5,32,8
897,0.5,33,8
898,0.5,34,8
899,0.5,35,8
900,0.5,36,8
901,0.5,37,8
902,0.5,38,8
903,0.5,39,8
904,0.5,40,8
905,0.5,41,8
906,0.5,42,8
907,0.5,43,8
908,0.5,44,8
909,0.5,45,8
910,0.5,46,8
911,0.4,47,8
912,0.3,48,8
913,0.3,49,8
914,0.2,50,8
915,0.2,51,8
916,0.2,52,8
917,0.2,53,8
918,0.2,54,8
919,0.2,55,8
920,0.2,56,8
921,0.3,57,8
922,0.3,58,8
923,0.3,59,8
924,0.3,60,8
925,0.3,61,8
926,0.5,62,8
927,0.5,63,8
928,0.5,64,8
929,0.5,65,8
930,0.5,66,8
931,0.5,67,8
932,0.5,68,8
933,0.5,69,8
934,0.5,70,8
935,0.5,71,8
936,0.4,72,8
937,0.5,73,8
938,0.5,74,8
939,0.5,75,8
940,0.4,76,8
941,0.4,77,8
942,0.4,78,8
943,0.5,79,8
944,0.5,80,8
945,0.4,81,8
946,0.5,82,8
947,0.5,83,8
948,0.5,84,8
949,0.5,85,8
950,0.5,86,8
951,0.5,87,8
952,0.5,88,8
953,0.5,89,8
954,0.4,90,8
955,0.4,91,8
956,0.5,92,8
957,0.5,93,8
958,0.5,94,8
959,0.4,95,8
960,0.4,96,8
961,0.4,97,8
962,0.4,98,8
963,0.4,99,8
964,0.4,100,8
965,0.4,101,8
966,0.4,102,8
967,0.4,103,8
968,0.4,104,8
969,0.4,105,8
970,0.4,106,8
971,0.4,107,8
972,0.5,0,9
973,0.5,1,9
974,0.5,2,9
975,0.5,3,9
976,0.5,4,9
977,0.5,5,9
978,0.5,6,9
979,0.5,7,9
980,0.5,8,9
981,0.5,9,9
982,0.5,10,9
983,0.5,11,9
984,0.5,12,9
985,0.5,13,9
986,0.5,14,9
987,0.5,15,9
988,0.5,16,9
989,0.5,17,9
990,0.5,18,9
991,0.5,19,9
992,0.5,20,9
993,0.5,21,9
994,0.5,22,9
995,0.5,23,9
996,0.5,24,9
997,0.5,25,9
998,0.5,26,9
999,0.5,27,9
1000,0.5,28,9
1001,0.5,29,9
1002,0.5,30,9
1003,0.5,31,9
1004,0.5,32,9
1005,0.5,33,9
1006,0.5,34,9
1007,0.5,35,9
1008,0.5,36,9
1009,0.5,37,9
1010,0.5,38,9
1011,0.5,39,9
1012,0.5,40,9
1013,0.5,41,9
1014,0.5,42,9
1015,0.5,43,9
1016,0.5,44,9
1017,0.5,45,9
1018,0.4,46,9
1019,0.3,47,9
1020,0.3,48,9
1021,0.3,49,9
1022,0.2,50,9
1023,0.2,51,9
1024,0.2,52,9
